arn,reconciliation_date,settlement_date,value_date,merchant_date,working_days,calendar_days
24234282189000750782133,2022-07-14,2022-08-05,2022-08-05,2022-08-05,0,22
24234282174000590237295,2022-07-02,2022-07-21,2022-07-21,2022-07-21,0,19
24234282184000697165660,2022-07-09,2022-07-31,2022-08-01,2022-08-01,0,22
24234282188000738229455,2022-07-14,2022-08-04,2022-08-04,2022-08-04,0,21
24234282185000709263221,2022-07-13,2022-08-01,2022-08-01,2022-08-01,0,19
24234282189000755085888,2022-07-27,2022-08-07,2022-08-08,2022-08-08,0,11
24234282171000559693432,2022-07-26,2022-07-28,2022-07-28,2022-07-28,0,2
24234282174000583134277,2022-07-09,2022-07-21,2022-07-21,2022-07-21,0,12
24234282175000597000182,2022-07-29,2022-07-31,2022-08-01,2022-08-01,0,2
24234282178000628723544,2022-07-07,2022-07-25,2022-07-25,2022-07-25,0,18
24234282180000648534844,2022-07-05,2022-07-27,2022-07-27,2022-07-27,0,22
24234282189000758833136,2022-07-16,2022-08-05,2022-08-05,2022-08-05,0,20
24234282172000565366006,2022-07-07,2022-07-19,2022-07-19,2022-07-19,0,12
24234282175000598853316,2022-07-09,2022-07-22,2022-07-22,2022-07-22,0,13
24234282180000651203915,2022-07-31,2022-08-02,2022-08-02,2022-08-02,0,2
24234282182000667156055,2022-07-07,2022-07-29,2022-07-29,2022-07-29,0,22
24234282174000593071568,2022-07-23,2022-07-25,2022-07-25,2022-07-25,0,2
24234282176000607095908,2022-07-26,2022-07-28,2022-07-28,2022-07-28,0,2
24234282180000645269634,2022-07-07,2022-07-27,2022-07-27,2022-07-27,0,20
24234282182000676072426,2022-07-09,2022-07-29,2022-07-29,2022-07-29,0,20
24234282172000569171949,2022-07-29,2022-07-31,2022-08-01,2022-08-01,0,2
24234282173000576733987,2022-07-17,2022-07-20,2022-07-20,2022-07-20,0,3
24234282175000596222381,2022-07-16,2022-07-22,2022-07-22,2022-07-22,0,6
24234282188000747759096,2022-07-20,2022-08-04,2022-08-04,2022-08-04,0,15
24234282185000709764665,2022-07-12,2022-08-01,2022-08-01,2022-08-01,0,20
24234282190000772240992,2022-07-19,2022-08-06,2022-08-08,2022-08-08,0,18
24234282185000712926244,2022-07-16,2022-08-02,2022-08-02,2022-08-02,0,17
24234282186000713057527,2022-07-12,2022-08-02,2022-08-02,2022-08-02,0,21
24234282188000738794508,2022-07-17,2022-08-04,2022-08-04,2022-08-04,0,18
24234282180000646284657,2022-07-20,2022-07-27,2022-07-27,2022-07-27,0,7
24234282184000696985704,2022-07-08,2022-07-31,2022-08-01,2022-08-01,0,23
24234282184000701171043,2022-07-12,2022-08-01,2022-08-01,2022-08-01,0,20
24234282188000738175070,2022-07-14,2022-08-04,2022-08-04,2022-08-04,0,21
24234282188000748007503,2022-07-23,2022-08-04,2022-08-04,2022-08-04,0,12
24234282189000756768193,2022-07-16,2022-08-05,2022-08-05,2022-08-05,0,20
24234282176000615027992,2022-07-06,2022-07-24,2022-07-25,2022-07-25,0,18
24234282182000671592634,2022-07-24,2022-07-29,2022-07-29,2022-07-29,0,5
24234282187000725303215,2022-07-12,2022-08-03,2022-08-03,2022-08-03,0,22
24234282188000744606290,2022-07-16,2022-08-04,2022-08-04,2022-08-04,0,19
24234282174000589462854,2022-07-01,2022-07-21,2022-07-21,2022-07-21,0,20
24234282186000725408676,2022-07-16,2022-08-03,2022-08-03,2022-08-03,0,18
24234282188000743926822,2022-07-17,2022-08-04,2022-08-04,2022-08-04,0,18
24234282189000753459770,2022-07-20,2022-08-05,2022-08-05,2022-08-05,0,16
24234282173000572997586,2022-07-14,2022-07-20,2022-07-20,2022-07-20,0,6
24234282184000696576875,2022-07-07,2022-07-31,2022-08-01,2022-08-01,0,24
24234282185000707012224,2022-07-26,2022-08-01,2022-08-01,2022-08-01,0,6
24234282188000745971107,2022-07-16,2022-08-04,2022-08-04,2022-08-04,0,19
24234282189000757815175,2022-07-17,2022-08-07,2022-08-08,2022-08-08,0,21
24234282190000759640529,2022-07-20,2022-08-07,2022-08-08,2022-08-08,0,18
24234282181000659262326,2022-07-13,2022-07-28,2022-07-28,2022-07-28,0,15
24234282188000738240320,2022-07-14,2022-08-04,2022-08-04,2022-08-04,0,21
24234282188000746749965,2022-07-30,2022-08-04,2022-08-04,2022-08-04,0,5
24234282189000755400624,2022-07-23,2022-08-05,2022-08-05,2022-08-05,0,13
24234282184000697332625,2022-07-06,2022-07-31,2022-08-01,2022-08-01,0,25
24234282188000746164009,2022-07-14,2022-08-04,2022-08-04,2022-08-04,0,21
24234282181000662389355,2022-07-16,2022-07-28,2022-07-28,2022-07-28,0,12
24234282175000599112720,2022-07-03,2022-07-22,2022-07-22,2022-07-22,0,19
24234282184000692058944,2022-07-12,2022-07-31,2022-08-01,2022-08-01,0,19
24234282186000725309759,2022-07-16,2022-08-03,2022-08-03,2022-08-03,0,18
24234282172000569688579,2022-07-09,2022-07-19,2022-07-19,2022-07-19,0,10
24234282173000579715635,2022-07-02,2022-07-20,2022-07-20,2022-07-20,0,18
24234282178000628731943,2022-07-14,2022-07-25,2022-07-25,2022-07-25,0,11
24234282186000717226540,2022-07-15,2022-08-02,2022-08-02,2022-08-02,0,18
24234282172000569785912,2022-07-16,2022-07-19,2022-07-19,2022-07-19,0,3
24234282173000576031572,2022-07-15,2022-07-20,2022-07-20,2022-07-20,0,5
